                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7679,                 3.8982,                 3.7341,                0.22008,                0.34908,                0.21734,                0.11174,                 2.2158,                 3.1804,                 2.9948,             0.00033077,             0.00033077,             0.00033077
                      2,                 2.0372,                  2.964,                 2.6316,                0.33446,                0.30907,                0.25396,                0.15148,                 1.8894,                 5.4967,                 2.3689,             0.00065753,             0.00065753,             0.00065753
                      3,                 1.8758,                 2.7091,                 2.2701,                0.37852,                0.38787,                0.30001,                0.18537,                 1.7505,                 2.7829,                 2.1321,             0.00097769,             0.00097769,             0.00097769
                      4,                 1.7695,                 2.5206,                 2.1363,                 0.3446,                0.39967,                0.31765,                0.19281,                 1.7348,                 2.4423,                 2.1085,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.696,                  2.322,                 2.0203,                0.38583,                0.41886,                 0.3731,                0.23347,                 1.7173,                 2.2538,                 2.0299,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.6477,                 2.1986,                 1.9503,                0.41971,                0.41156,                0.35656,                0.23829,                 1.6575,                 2.4954,                 1.9468,              0.0009604,              0.0009604,              0.0009604
                      7,                  1.585,                  2.141,                 1.9099,                0.48962,                0.42983,                0.39831,                0.25305,                 1.6679,                 2.5378,                 1.9483,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5806,                 2.0886,                 1.8855,                0.48508,                0.43444,                0.38989,                0.25712,                 1.6226,                 2.1366,                 1.8958,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.5807,                 2.0174,                 1.8651,                0.44395,                0.47527,                0.41109,                0.26515,                 1.6345,                 2.0271,                 1.9022,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.5567,                 1.9374,                 1.8494,                0.41013,                 0.4844,                   0.41,                0.26691,                 1.6171,                 2.0789,                 1.8929,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5368,                 1.9224,                 1.8304,                0.47087,                0.48203,                0.40745,                 0.2674,                 1.6225,                 2.1603,                 1.8844,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.4952,                 1.8585,                 1.7952,                  0.471,                0.47566,                0.44833,                0.29093,                 1.6164,                 2.0035,                 1.8716,               0.000901,               0.000901,               0.000901
                     13,                 1.5229,                 1.8725,                 1.7955,                0.50396,                0.46627,                0.44358,                0.28203,                 1.6177,                 1.9739,                 1.8904,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5005,                  1.822,                 1.7742,                0.51692,                0.41147,                0.43495,                0.28403,                 1.5712,                 2.0151,                 1.8329,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5066,                 1.8094,                 1.7824,                0.48542,                0.45933,                0.43936,                0.29225,                 1.5658,                 2.0783,                 1.8278,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.4934,                 1.7955,                 1.7689,                0.47018,                0.47416,                0.45175,                0.30354,                 1.5687,                 1.8877,                 1.8344,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.4796,                 1.7634,                 1.7502,                0.47572,                0.44526,                0.44725,                0.29555,                 1.5839,                 1.9119,                 1.8359,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.4487,                 1.7532,                 1.7455,                0.50197,                0.44837,                0.43736,                0.27695,                 1.6068,                 1.9752,                  1.866,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.4479,                 1.7153,                 1.7186,                0.55897,                 0.5039,                0.50168,                0.32954,                 1.5658,                 1.7929,                 1.8274,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.4509,                  1.686,                 1.7399,                0.51127,                0.49348,                 0.4518,                 0.2989,                 1.5718,                 2.0385,                 1.8139,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.4411,                 1.6752,                 1.7192,                 0.4973,                0.48827,                0.45118,                0.29949,                 1.5459,                 1.9412,                 1.8107,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.4112,                 1.6413,                 1.6921,                0.50039,                0.46196,                 0.4517,                0.29187,                 1.5767,                 1.9778,                 1.8329,               0.000802,               0.000802,               0.000802
                     23,                 1.4281,                  1.612,                 1.6937,                0.52592,                0.50005,                0.47985,                 0.3168,                 1.5445,                 1.8233,                 1.7852,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.4304,                 1.6636,                 1.7195,                0.52118,                 0.4953,                0.47878,                0.32002,                 1.5434,                 1.8227,                 1.8034,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.4094,                 1.5905,                 1.6855,                0.58668,                0.47294,                0.49621,                0.33025,                 1.5534,                 1.7916,                 1.7987,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.4204,                 1.5822,                 1.6865,                0.55958,                0.49091,                0.50267,                0.33041,                 1.5759,                 1.7652,                 1.8106,              0.0007624,              0.0007624,              0.0007624
                     27,                  1.401,                 1.5386,                 1.6681,                0.57038,                0.49148,                0.50883,                0.34243,                 1.5538,                 1.8014,                  1.793,              0.0007525,              0.0007525,              0.0007525
                     28,                  1.388,                 1.5752,                  1.657,                0.50266,                0.50804,                0.48766,                0.32218,                 1.5404,                 1.8281,                 1.7916,              0.0007426,              0.0007426,              0.0007426
                     29,                  1.377,                 1.5219,                 1.6709,                0.56487,                0.50513,                0.49129,                0.33064,                 1.5616,                 1.8038,                 1.8034,              0.0007327,              0.0007327,              0.0007327
                     30,                  1.376,                 1.5241,                 1.6571,                0.50574,                0.52852,                0.49191,                0.32497,                  1.551,                 1.8617,                  1.791,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.3813,                  1.476,                 1.6494,                0.54515,                 0.4672,                0.47341,                0.31582,                 1.5283,                 1.8292,                 1.7627,              0.0007129,              0.0007129,              0.0007129
                     32,                  1.392,                 1.5422,                 1.6781,                 0.5661,                0.48937,                0.49492,                0.32934,                 1.5332,                 1.8155,                 1.7886,               0.000703,               0.000703,               0.000703
                     33,                 1.3675,                 1.4575,                 1.6542,                0.50071,                0.53111,                0.47901,                0.31911,                 1.5455,                 1.8274,                 1.7759,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.3666,                 1.5003,                 1.6446,                0.58633,                0.47822,                0.50268,                0.33805,                 1.5275,                   1.79,                 1.7816,              0.0006832,              0.0006832,              0.0006832
                     35,                  1.344,                 1.4404,                 1.6325,                0.56856,                0.51725,                 0.5142,                0.34234,                 1.5551,                 1.7942,                 1.8054,              0.0006733,              0.0006733,              0.0006733
                     36,                  1.337,                 1.4597,                 1.6299,                0.59179,                0.49371,                0.50411,                0.33881,                 1.5472,                 1.8566,                 1.8001,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3681,                 1.4705,                 1.6661,                0.62422,                0.46227,                 0.5035,                 0.3303,                 1.5517,                 1.7872,                 1.7978,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.3216,                 1.4181,                 1.6134,                 0.5684,                0.51441,                0.50794,                0.33841,                 1.5527,                 1.7984,                 1.7969,              0.0006436,              0.0006436,              0.0006436
                     39,                  1.351,                 1.4018,                 1.6137,                0.56585,                0.48911,                0.48768,                0.32326,                 1.5394,                 1.8263,                 1.7783,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3245,                 1.3949,                 1.6113,                 0.5734,                0.53009,                0.52255,                0.34485,                 1.5539,                  1.756,                 1.7828,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3317,                  1.398,                 1.5994,                0.55633,                0.48644,                0.50048,                 0.3331,                 1.5397,                 1.8093,                 1.7827,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.3192,                 1.3569,                 1.6043,                0.54569,                0.53519,                0.51849,                0.34196,                 1.5494,                 1.7393,                 1.7751,               0.000604,               0.000604,               0.000604
                     43,                 1.3224,                 1.3471,                 1.5922,                0.55613,                0.52356,                0.51831,                0.34614,                 1.5499,                 1.7498,                 1.7958,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.3084,                 1.3081,                 1.5912,                 0.5343,                0.49759,                0.49774,                0.33159,                 1.5402,                 1.8145,                 1.7849,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.3133,                 1.3506,                 1.5889,                0.50664,                0.52594,                0.49976,                 0.3366,                 1.5453,                 1.7981,                  1.793,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.2464,                 1.3168,                 1.5856,                0.51973,                0.51421,                0.49153,                0.32712,                 1.5601,                 1.8478,                 1.8167,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.2998,                 1.3306,                  1.587,                0.56818,                0.50169,                 0.5167,                 0.3457,                 1.5461,                 1.7655,                 1.7869,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.2966,                 1.3093,                 1.5792,                0.52664,                0.53807,                0.50688,                0.34432,                 1.5563,                 1.7745,                 1.7984,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.3063,                  1.275,                 1.5758,                0.58505,                0.49484,                0.51198,                0.33918,                 1.5525,                 1.7343,                  1.796,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.2983,                 1.2713,                 1.5667,                0.56967,                0.49136,                0.49977,                0.33418,                 1.5717,                 1.8819,                 1.8096,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.2607,                 1.2751,                 1.5768,                0.56183,                0.49889,                0.51852,                 0.3431,                 1.5506,                 1.8124,                 1.8134,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.2484,                 1.2342,                 1.5575,                0.52387,                0.53062,                0.51554,                0.34301,                  1.551,                 1.8787,                 1.8096,               0.000505,               0.000505,               0.000505
                     53,                 1.2648,                 1.2444,                 1.5549,                0.55725,                0.51044,                0.52481,                0.35466,                 1.5487,                 1.7734,                 1.7993,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.2545,                  1.212,                 1.5416,                0.56481,                0.47614,                0.49719,                0.32963,                 1.5501,                 1.8837,                 1.8016,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.2429,                 1.2242,                 1.5414,                0.57606,                0.46758,                0.50398,                0.33153,                 1.5598,                 1.8762,                 1.8162,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.2611,                  1.214,                 1.5487,                0.56072,                0.53007,                 0.5204,                0.34779,                 1.5611,                 1.7597,                 1.8164,              0.0004654,              0.0004654,              0.0004654
                     57,                  1.241,                 1.1949,                 1.5504,                0.59846,                 0.4946,                0.50959,                0.33871,                 1.5693,                 1.8577,                 1.8136,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.2581,                 1.1911,                 1.5375,                0.57263,                0.48797,                0.51462,                0.34405,                 1.5434,                  1.777,                 1.7967,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.2185,                 1.1711,                 1.5278,                0.56576,                0.47008,                0.49183,                0.32669,                  1.565,                  1.882,                  1.818,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.2393,                 1.1574,                  1.531,                0.56569,                0.49875,                0.51364,                0.34421,                 1.5653,                 1.7946,                 1.8186,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.2212,                 1.1562,                 1.5258,                0.61446,                0.47276,                0.50728,                0.34146,                 1.5532,                 1.8727,                  1.808,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.2302,                  1.129,                 1.5255,                0.53606,                0.53826,                0.52028,                0.34656,                  1.572,                 1.8681,                 1.8359,               0.000406,               0.000406,               0.000406
                     63,                  1.214,                 1.1347,                 1.5085,                0.57472,                0.49986,                0.51654,                0.34376,                 1.5845,                 1.8084,                  1.824,              0.0003961,              0.0003961,              0.0003961
