                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0984,                 4.3558,                  3.909,                0.00139,                0.40532,                0.00974,                0.00323,                 2.9021,                 18.652,                 3.3716,             0.00033077,             0.00033077,             0.00033077
                      2,                 2.4912,                 3.4909,                 2.9808,                0.42918,                 0.1333,                0.07339,                0.02343,                 2.4862,                 3.6816,                 3.0964,             0.00065753,             0.00065753,             0.00065753
                      3,                 2.1835,                 2.8786,                 2.4824,                0.14622,                0.31438,                0.13539,                0.05735,                  2.173,                 2.6749,                 2.4356,             0.00097769,             0.00097769,             0.00097769
                      4,                 2.0087,                 2.5761,                 2.2736,                0.36481,                0.27741,                0.16093,                0.07769,                 1.9874,                 2.6763,                 2.1693,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.889,                 2.4022,                 2.0948,                0.23438,                0.35223,                0.23863,                0.14738,                 1.7682,                 2.3381,                 1.9767,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.8184,                 2.2988,                 2.0255,                0.18267,                0.40937,                0.23549,                0.13312,                 1.6851,                 2.4163,                 1.8824,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.7487,                 2.2311,                 1.9347,                0.22904,                0.46253,                0.26032,                0.15849,                 1.6277,                 2.2734,                 1.7957,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.6612,                   2.13,                 1.8804,                  0.287,                0.43848,                0.28829,                0.17379,                 1.6638,                 2.1293,                 1.7582,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6683,                 2.0668,                 1.8306,                0.26788,                0.38774,                0.30071,                0.19368,                 1.5561,                 2.1198,                 1.7273,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6423,                 2.0465,                 1.8055,                0.26293,                0.46281,                0.30689,                 0.1892,                 1.6523,                 2.1329,                 1.7411,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.6133,                 2.0058,                 1.8061,                0.27389,                0.41065,                 0.2746,                0.17114,                 1.6807,                 2.2009,                 1.7957,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6104,                 2.0072,                 1.7794,                0.33709,                0.46524,                 0.3172,                 0.1904,                 1.5792,                  2.099,                 1.7192,               0.000901,               0.000901,               0.000901
                     13,                 1.5268,                  1.937,                 1.7391,                0.31625,                0.45575,                0.34032,                0.21909,                 1.5797,                 1.9235,                 1.6959,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5602,                 1.9188,                 1.7379,                0.31168,                0.40934,                0.30805,                0.19995,                 1.5256,                 2.1312,                 1.6571,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5484,                 1.9075,                 1.7101,                0.32078,                0.46507,                0.34498,                0.20888,                 1.6246,                 1.9998,                 1.7207,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5422,                  1.883,                 1.7101,                0.34538,                0.45184,                0.35148,                0.22346,                 1.5346,                 1.8326,                 1.6471,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.5092,                 1.8468,                 1.7045,                0.42435,                0.41813,                0.36896,                0.24111,                 1.4877,                 1.8974,                 1.6472,              0.0008515,              0.0008515,              0.0008515
                     18,                  1.493,                 1.8122,                 1.6809,                0.33667,                0.46708,                0.36216,                0.23732,                 1.4744,                 1.8714,                 1.6358,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.5063,                 1.8348,                 1.6716,                0.38212,                 0.4624,                0.35606,                0.21687,                 1.5039,                 1.8502,                  1.628,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.4865,                 1.8322,                 1.6641,                 0.3426,                0.46753,                0.33825,                0.21211,                 1.5349,                 1.8506,                 1.6847,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.4845,                 1.8074,                 1.6769,                0.37771,                0.43642,                 0.3757,                0.24033,                 1.4518,                 1.8016,                 1.6159,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.4649,                 1.7745,                 1.6588,                0.42951,                0.47098,                0.39362,                0.24891,                 1.4483,                 1.7218,                  1.591,               0.000802,               0.000802,               0.000802
                     23,                 1.4748,                 1.7041,                 1.6193,                 0.4165,                0.46288,                0.40463,                0.26257,                 1.4531,                 1.7641,                 1.5921,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.4617,                 1.7473,                 1.6545,                0.37924,                0.46891,                0.38351,                 0.2447,                  1.476,                 1.7916,                 1.6019,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.4368,                 1.6984,                 1.6359,                0.38783,                0.48645,                0.39347,                0.24936,                 1.4892,                 1.8679,                 1.5807,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.4233,                 1.7157,                 1.6204,                0.40616,                0.46182,                0.40357,                 0.2589,                 1.4667,                 1.7264,                 1.6163,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.4256,                 1.6426,                 1.6023,                0.44729,                0.46538,                0.41002,                0.25789,                 1.5706,                 1.7941,                 1.6306,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.4414,                 1.6724,                 1.6057,                0.50943,                0.42576,                0.41144,                0.26586,                 1.4646,                 1.7179,                 1.5891,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.4158,                 1.6298,                 1.5961,                0.32884,                0.46677,                0.38263,                0.24871,                 1.4987,                 1.9359,                 1.5957,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.4025,                 1.6303,                 1.5828,                0.46771,                0.44475,                0.42993,                0.27775,                 1.4654,                 1.8334,                 1.5842,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.3973,                 1.5908,                 1.5869,                0.42392,                 0.4505,                 0.4224,                0.26975,                 1.4311,                 1.7825,                 1.5532,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.3955,                 1.6283,                 1.5895,                0.43594,                0.46688,                0.43369,                0.27824,                 1.4537,                 1.6928,                 1.5549,               0.000703,               0.000703,               0.000703
                     33,                 1.4013,                 1.5898,                 1.5817,                0.54688,                0.40083,                0.44835,                0.28995,                 1.4557,                 1.6212,                 1.5612,              0.0006931,              0.0006931,              0.0006931
                     34,                  1.389,                 1.5946,                 1.5882,                0.43165,                0.46677,                 0.4522,                0.28617,                 1.4321,                 1.6154,                 1.5527,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.3663,                 1.5717,                 1.5888,                0.48404,                0.42579,                0.43131,                0.27889,                 1.4195,                 1.6463,                 1.5556,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.3955,                 1.5645,                 1.5809,                0.44197,                0.50098,                0.45695,                0.28975,                  1.461,                 1.6297,                 1.5459,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3695,                 1.5501,                 1.5717,                0.49004,                0.46345,                0.44837,                0.29035,                 1.4409,                 1.6227,                 1.5488,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.3638,                 1.5617,                 1.5561,                0.51161,                0.46569,                0.46242,                0.28875,                 1.4419,                 1.6391,                 1.5304,              0.0006436,              0.0006436,              0.0006436
