                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5434,                 2.6176,                 1.6306,                0.22491,                0.35459,                0.20891,                0.09973,                 2.0339,                 3.1985,                 1.9828,             0.00033077,             0.00033077,             0.00033077
                      2,                 1.6193,                 2.1058,                 1.6051,                0.25183,                0.34814,                0.20531,                0.09875,                 2.0928,                 3.2791,                 2.0215,             0.00065753,             0.00065753,             0.00065753
                      3,                 1.6709,                 2.0947,                  1.606,                0.35865,                0.38716,                0.26751,                0.14691,                 1.8996,                 2.7793,                  1.813,             0.00097769,             0.00097769,             0.00097769
                      4,                 1.6101,                 1.9969,                 1.5881,                0.34418,                0.46062,                 0.3373,                0.21565,                  1.676,                 2.0429,                 1.6556,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.5668,                 1.9228,                 1.5407,                0.43643,                0.37984,                0.33339,                0.20148,                 1.7313,                 2.2734,                  1.677,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.5135,                 1.8231,                 1.5098,                 0.3261,                0.48199,                0.34949,                0.21426,                 1.7357,                 2.3781,                 1.6912,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.4741,                 1.7523,                  1.501,                0.59922,                 0.3754,                 0.3963,                0.24868,                 1.5869,                 1.8561,                 1.6046,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.4665,                 1.7387,                 1.4833,                0.40959,                0.39628,                0.33671,                0.22188,                 1.6404,                 2.0877,                 1.6172,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.4709,                 1.6833,                 1.4688,                0.62494,                0.35482,                0.38552,                 0.2453,                 1.6165,                 1.9189,                 1.6011,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.4235,                 1.6473,                 1.4635,                0.44288,                 0.4455,                0.39678,                 0.2552,                 1.5858,                 1.8374,                 1.6128,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.4031,                 1.6503,                 1.4506,                0.39041,                0.43664,                0.33223,                0.21589,                 1.5522,                 2.2452,                 1.5394,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.3784,                 1.5717,                 1.4285,                0.47626,                0.47688,                0.44499,                0.28649,                 1.5594,                 1.7406,                 1.5593,               0.000901,               0.000901,               0.000901
                     13,                 1.3928,                 1.5952,                 1.4377,                0.48622,                0.48483,                0.46333,                 0.3008,                 1.5347,                 1.6434,                 1.5517,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.3786,                 1.5347,                 1.4101,                0.52606,                0.45117,                0.44864,                0.29432,                 1.5681,                 1.7295,                 1.5639,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.3888,                 1.5485,                 1.4277,                0.44379,                0.50462,                0.41787,                0.27494,                 1.5156,                 1.7582,                 1.5253,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.3986,                  1.538,                 1.4198,                0.48853,                0.48444,                0.45615,                0.29771,                 1.5325,                 1.6406,                 1.5264,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.3616,                 1.5083,                 1.4023,                0.48946,                0.47192,                0.44075,                0.29238,                 1.5403,                 1.7238,                  1.541,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.3324,                 1.4907,                 1.3997,                0.49802,                0.48873,                0.47457,                0.30988,                   1.52,                 1.5781,                  1.524,              0.0008416,              0.0008416,              0.0008416
                     19,                  1.343,                 1.4637,                  1.393,                0.54283,                0.51909,                0.49689,                0.31672,                 1.5488,                 1.6098,                 1.5209,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.3385,                 1.4609,                 1.4123,                0.53407,                0.48671,                0.49227,                0.32189,                  1.498,                  1.624,                 1.5262,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.3229,                  1.413,                 1.3807,                0.51125,                0.49046,                0.46974,                0.31177,                 1.4965,                 1.6743,                 1.5233,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.2932,                 1.4038,                 1.3725,                0.52568,                0.45209,                0.45597,                0.30314,                 1.5023,                 1.7303,                 1.5221,               0.000802,               0.000802,               0.000802
                     23,                 1.3233,                 1.3853,                 1.3738,                0.51473,                0.46957,                0.46438,                0.30759,                 1.4915,                 1.7074,                 1.4918,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.3039,                 1.4226,                 1.3823,                0.50932,                0.48703,                0.46507,                0.31226,                 1.4781,                 1.6374,                 1.4963,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.3003,                 1.3578,                 1.3621,                0.52743,                0.52163,                0.50269,                0.33397,                 1.4978,                 1.5383,                 1.5057,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.3036,                 1.3668,                 1.3678,                0.57118,                0.49807,                 0.4976,                0.31964,                 1.5057,                 1.5534,                 1.4984,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.2911,                 1.3446,                 1.3618,                0.57276,                0.52531,                0.52391,                0.34453,                 1.4905,                 1.5253,                 1.5035,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.2825,                 1.3606,                 1.3581,                0.55742,                0.51837,                0.50778,                0.33624,                 1.4868,                  1.523,                 1.4979,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.2795,                 1.3033,                 1.3467,                0.55056,                0.52663,                0.50346,                0.33565,                 1.4813,                 1.5503,                    1.5,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.2603,                 1.3164,                 1.3501,                0.52729,                0.48034,                0.47912,                0.32182,                 1.4956,                 1.5581,                 1.5165,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.2705,                 1.2838,                 1.3497,                0.53538,                0.53251,                0.51348,                0.33295,                 1.4949,                 1.4751,                 1.5056,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.3045,                  1.341,                 1.3781,                0.58083,                0.48914,                0.49698,                0.33693,                 1.4533,                 1.5388,                 1.4766,               0.000703,               0.000703,               0.000703
                     33,                 1.2713,                 1.2834,                 1.3516,                0.55884,                0.50402,                0.51569,                 0.3384,                 1.4772,                 1.4865,                 1.5105,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.2763,                 1.3077,                 1.3539,                0.59176,                0.51888,                0.51392,                0.34034,                 1.4674,                 1.5008,                 1.4874,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.2453,                 1.2471,                 1.3359,                0.59409,                0.49296,                0.52375,                 0.3455,                  1.493,                   1.52,                 1.4955,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.2414,                 1.2809,                 1.3436,                0.54728,                0.53841,                0.50919,                0.33686,                 1.4829,                 1.5345,                  1.488,              0.0006634,              0.0006634,              0.0006634
                     37,                  1.276,                 1.2673,                 1.3664,                0.61746,                0.50345,                0.51251,                0.33222,                  1.488,                 1.5131,                 1.4911,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.2281,                   1.27,                  1.326,                0.56499,                0.51701,                0.50929,                0.33987,                 1.4834,                   1.48,                 1.4929,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.2617,                 1.2142,                 1.3228,                0.55864,                0.50526,                0.50671,                0.33784,                 1.4741,                 1.4727,                 1.4834,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.2296,                 1.2138,                 1.3256,                0.60615,                0.51399,                0.53491,                0.35585,                 1.4763,                 1.4466,                 1.4871,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.2334,                 1.2246,                  1.322,                0.54182,                0.50177,                0.50455,                0.33724,                 1.4844,                 1.5218,                 1.4891,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.2191,                 1.2031,                 1.3205,                0.57761,                0.52547,                0.51493,                0.33906,                 1.4778,                  1.484,                 1.4896,               0.000604,               0.000604,               0.000604
                     43,                 1.2308,                 1.1961,                 1.3141,                0.60829,                0.52328,                0.53678,                0.35685,                 1.4618,                 1.4191,                 1.4822,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.1997,                 1.1551,                 1.3095,                0.56172,                0.50745,                0.49928,                0.33263,                 1.4886,                 1.5584,                 1.4856,              0.0005842,              0.0005842,              0.0005842
                     45,                  1.219,                  1.169,                 1.3065,                0.58711,                0.50158,                0.49965,                0.33317,                 1.4899,                 1.5263,                 1.5035,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.1528,                 1.1744,                 1.3107,                0.58374,                0.52549,                0.52976,                0.35311,                 1.4672,                 1.4457,                  1.484,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.2096,                 1.1746,                  1.315,                0.54437,                0.52276,                0.51896,                0.34887,                  1.469,                 1.4738,                 1.4929,              0.0005545,              0.0005545,              0.0005545
                     48,                  1.193,                 1.1401,                 1.2958,                0.59581,                0.51201,                0.52296,                0.34875,                 1.4727,                 1.4714,                  1.486,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.2233,                 1.1235,                 1.3074,                0.60335,                0.50711,                0.52375,                0.34901,                 1.4541,                 1.4863,                 1.4704,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.2072,                 1.1107,                 1.2912,                0.58455,                0.49467,                0.51525,                0.34162,                 1.4663,                   1.55,                 1.4846,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.1785,                 1.1418,                 1.3108,                0.54557,                0.52551,                0.51704,                0.34769,                 1.4666,                 1.4782,                 1.4974,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.1683,                  1.087,                 1.2964,                0.60135,                0.51101,                0.53217,                0.35775,                  1.467,                 1.4868,                  1.495,               0.000505,               0.000505,               0.000505
                     53,                 1.1794,                 1.1057,                 1.2914,                0.54222,                0.52164,                0.51848,                0.35001,                  1.477,                 1.4724,                  1.489,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.1684,                 1.0767,                 1.2824,                0.60178,                0.49785,                0.51138,                0.34298,                 1.4727,                 1.4847,                 1.4921,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.1547,                 1.0721,                  1.272,                0.64206,                0.49718,                0.54029,                0.36332,                 1.4693,                 1.4672,                 1.4838,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.1684,                 1.0744,                 1.2841,                0.60813,                0.51524,                0.53027,                0.34932,                 1.4878,                 1.4392,                 1.4979,              0.0004654,              0.0004654,              0.0004654
