                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1471,                 4.3471,                 3.8915,                0.66883,                0.20408,                0.01076,                0.00327,                 2.9928,                 10.857,                 3.5848,             0.00033077,             0.00033077,             0.00033077
                      2,                 2.5347,                 3.4174,                 2.9985,                0.73159,                0.11111,                0.10806,                0.04674,                 2.2584,                 4.8194,                 2.7615,             0.00065753,             0.00065753,             0.00065753
                      3,                 2.1806,                 2.7965,                 2.4747,                0.18082,                0.36946,                0.15862,                0.07569,                  2.085,                 3.3149,                  2.428,             0.00097769,             0.00097769,             0.00097769
                      4,                 2.0126,                 2.5466,                 2.2799,                 0.3799,                0.37195,                0.23181,                0.12263,                 1.9096,                 2.7191,                 2.1368,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.861,                 2.3557,                    2.1,                0.16657,                0.38129,                0.22374,                0.13613,                 1.8098,                  2.491,                 1.9574,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.7791,                 2.2649,                 2.0019,                0.25164,                0.39344,                0.24996,                0.14314,                 1.6971,                 2.1551,                 1.8787,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.7249,                 2.1768,                  1.925,                0.21119,                 0.4016,                0.23249,                0.14143,                 1.6567,                  2.345,                  1.836,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.6388,                 2.1012,                 1.8758,                0.30727,                0.44023,                 0.2515,                0.15017,                   1.67,                 2.1012,                  1.857,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6647,                 2.0418,                 1.8518,                0.25952,                0.43239,                 0.2879,                0.17501,                 1.5608,                  2.106,                 1.7545,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6334,                 2.0365,                 1.8212,                0.27458,                 0.4411,                0.32007,                0.19275,                 1.6458,                 2.1201,                 1.8013,              0.0009208,              0.0009208,              0.0009208
                     11,                  1.606,                 1.9916,                 1.8265,                0.36595,                0.38721,                 0.3273,                0.21074,                 1.5698,                 2.0539,                 1.7082,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6203,                 2.0051,                 1.7991,                 0.3706,                0.44063,                0.31405,                0.19234,                 1.5648,                 2.0248,                 1.7345,               0.000901,               0.000901,               0.000901
                     13,                 1.5331,                 1.9305,                 1.7584,                0.34192,                0.46758,                0.32338,                0.20492,                 1.5688,                 2.0528,                 1.7257,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5594,                 1.9204,                 1.7556,                0.34179,                0.42995,                0.35198,                0.22816,                  1.521,                 1.9579,                 1.6585,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.534,                 1.9086,                 1.7213,                0.36035,                0.47012,                0.36142,                0.22367,                 1.5533,                 1.8518,                  1.669,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5332,                 1.8776,                  1.722,                0.31986,                0.46218,                0.35133,                0.21918,                 1.5393,                 1.8856,                 1.6845,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.5077,                 1.8473,                 1.7259,                0.47529,                0.40785,                0.37849,                0.23598,                 1.5317,                 1.8671,                 1.6709,              0.0008515,              0.0008515,              0.0008515
                     18,                  1.485,                 1.8002,                 1.6937,                 0.2944,                0.39065,                0.26635,                0.16529,                 1.5681,                 2.2408,                 1.7391,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.4999,                 1.8275,                 1.6923,                 0.3651,                0.49682,                0.37981,                0.24507,                 1.4798,                 1.7518,                 1.6208,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.4841,                 1.8377,                 1.6795,                0.38586,                0.46007,                0.36494,                0.22895,                 1.5064,                 1.8638,                 1.6552,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.4887,                 1.8161,                  1.699,                 0.4576,                0.42137,                0.39541,                 0.2562,                 1.4466,                 1.9014,                 1.6185,              0.0008119,              0.0008119,              0.0008119
