                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1583,                 4.3465,                 3.9239,                0.50522,                0.00712,                0.01103,                0.00407,                 3.0536,                 8.4225,                 3.7168,             0.00033077,             0.00033077,             0.00033077
                      2,                 2.5508,                 3.5062,                 3.0117,                0.01048,                0.06432,                0.00961,                0.00332,                 2.6314,                 4.1234,                 3.5261,             0.00065753,             0.00065753,             0.00065753
                      3,                 2.2601,                 2.9563,                 2.5133,                0.57075,                0.13469,                0.10442,                0.05108,                 2.0463,                 4.0822,                 2.5033,             0.00097769,             0.00097769,             0.00097769
                      4,                 2.0482,                 2.6332,                 2.2901,                0.52458,                 0.2526,                0.17288,                0.09214,                 1.9399,                 2.6919,                 2.1919,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.9013,                 2.4177,                 2.0948,                0.19369,                0.40726,                0.22357,                0.13169,                 1.7038,                 2.4753,                 1.8781,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.8101,                 2.2825,                 1.9873,                0.18911,                0.29956,                0.19932,                0.10916,                 1.8539,                 2.5419,                 1.9712,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.7498,                 2.2044,                 1.9177,                0.22726,                0.37632,                0.26761,                0.16454,                  1.636,                 2.3258,                 1.7952,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.6723,                 2.1216,                 1.8629,                0.33219,                 0.4386,                0.29937,                0.18236,                  1.663,                 2.0678,                 1.7644,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6863,                 2.0659,                 1.8273,                0.25903,                0.41944,                0.27715,                0.16937,                 1.6088,                 2.2009,                 1.7437,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6458,                 2.0425,                 1.7814,                0.27703,                0.43171,                 0.2908,                0.17457,                 1.7052,                 2.1956,                 1.7641,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.6109,                 2.0025,                 1.7788,                0.29257,                0.44789,                0.29872,                0.19193,                 1.5938,                 2.0341,                 1.6801,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6105,                 2.0011,                 1.7567,                0.34408,                0.44243,                0.32891,                0.20777,                 1.5869,                 2.1823,                 1.7325,               0.000901,               0.000901,               0.000901
                     13,                 1.5382,                 1.9304,                 1.7262,                0.34509,                0.46464,                0.33695,                0.20934,                 1.5822,                 1.9427,                 1.6938,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5586,                 1.9006,                 1.7176,                0.34475,                0.42285,                0.34304,                0.21885,                 1.5288,                 1.9052,                 1.6786,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.529,                 1.8851,                 1.6764,                0.32018,                0.45076,                0.33103,                0.20501,                 1.5829,                 2.0055,                 1.6918,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5291,                 1.8654,                 1.6743,                0.42507,                0.42188,                0.35922,                0.22639,                 1.5276,                 1.8519,                 1.6765,              0.0008614,              0.0008614,              0.0008614
                     17,                   1.51,                 1.8372,                 1.6826,                0.36258,                0.41707,                0.33991,                0.21623,                 1.5141,                 1.9157,                 1.6392,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.4797,                 1.7879,                 1.6471,                0.34048,                0.48908,                0.35533,                0.22022,                  1.554,                 1.8316,                 1.6589,              0.0008416,              0.0008416,              0.0008416
