                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7221,                 3.8844,                 3.8035,                0.21568,                0.32095,                0.20817,                0.10142,                  2.093,                 3.0275,                 3.2329,             0.00033077,             0.00033077,             0.00033077
                      2,                  2.063,                 3.0047,                  2.756,                0.24229,                 0.4187,                0.26314,                0.13889,                 1.9022,                 2.7531,                 2.4617,             0.00065753,             0.00065753,             0.00065753
                      3,                 1.8876,                 2.7515,                 2.3304,                0.29372,                0.36504,                0.26329,                0.16251,                 1.7884,                 4.3697,                 2.2101,             0.00097769,             0.00097769,             0.00097769
                      4,                 1.7714,                 2.5587,                   2.17,                 0.3588,                0.43912,                0.31934,                0.18638,                 1.7218,                 2.5611,                 2.1395,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.7249,                 2.3457,                 2.0463,                0.27706,                0.42223,                0.26328,                0.15237,                 1.7512,                 2.6639,                 2.1308,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.6692,                 2.2539,                  2.005,                0.41331,                0.38513,                0.35921,                0.21462,                 1.6031,                 2.1458,                 1.9493,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.6305,                 2.1526,                 1.9499,                0.38748,                0.45265,                0.36434,                0.23298,                 1.5874,                 2.2724,                 1.9319,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5739,                 2.0923,                 1.8945,                0.35504,                0.46169,                0.36926,                 0.2229,                  1.592,                 2.1858,                 1.9088,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6081,                 2.0135,                 1.9012,                0.44351,                0.45459,                0.43521,                0.27995,                 1.5369,                  1.977,                 1.8505,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.5843,                 1.9792,                   1.86,                0.47134,                0.44258,                0.42141,                 0.2611,                 1.5605,                 2.0341,                 1.8673,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5484,                 1.9394,                  1.849,                0.48789,                0.45524,                0.43267,                0.26379,                 1.6011,                 2.2266,                  1.889,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5716,                 1.9402,                 1.8394,                0.37037,                0.47252,                 0.4152,                 0.2546,                 1.5252,                 1.9698,                 1.8443,               0.000901,               0.000901,               0.000901
                     13,                 1.5095,                 1.8688,                 1.8035,                 0.4224,                0.45823,                0.39278,                0.24858,                 1.5383,                 1.9754,                 1.8402,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5141,                 1.8263,                 1.7987,                0.49313,                0.44457,                0.44464,                0.28366,                 1.5263,                  1.939,                  1.813,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5004,                 1.8135,                 1.7684,                0.57268,                0.39971,                0.44101,                0.27021,                 1.5677,                 1.9569,                  1.838,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5045,                 1.8116,                 1.7841,                0.51826,                0.43518,                0.45727,                0.28989,                 1.5233,                 1.8154,                 1.8045,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.4669,                  1.747,                 1.7772,                0.45367,                0.49302,                0.45135,                 0.2803,                 1.5399,                 1.8522,                 1.7961,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.4532,                 1.7429,                 1.7467,                 0.4947,                0.50722,                0.47915,                0.29776,                 1.4981,                 1.7397,                 1.7733,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.4775,                 1.7289,                 1.7377,                0.56043,                0.44335,                0.46398,                0.27395,                 1.5546,                 1.8662,                  1.819,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.4484,                 1.7162,                 1.7434,                0.47921,                0.45973,                0.45086,                0.28092,                 1.5212,                 1.9857,                 1.8059,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.4496,                 1.7175,                  1.743,                0.47398,                0.54887,                 0.4853,                0.30305,                 1.5113,                 1.8745,                 1.7971,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.4436,                 1.6822,                 1.7114,                0.54545,                 0.4761,                0.49174,                0.31674,                  1.491,                 1.7519,                 1.7713,               0.000802,               0.000802,               0.000802
                     23,                  1.439,                 1.6291,                 1.6824,                0.52486,                0.49177,                0.50175,                0.31746,                 1.5015,                 1.7468,                 1.7741,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.4227,                 1.6467,                 1.7068,                0.53101,                0.49884,                0.51522,                0.32593,                 1.4746,                 1.6766,                 1.7635,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.4098,                  1.617,                 1.7036,                0.50955,                0.49947,                0.47935,                0.29766,                 1.5172,                 1.8166,                 1.7863,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.3912,                  1.636,                 1.6779,                0.53854,                0.50372,                0.49905,                  0.322,                 1.4787,                 1.7209,                 1.7584,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.3944,                 1.5588,                 1.6758,                0.54322,                0.49494,                0.48945,                0.32248,                 1.4834,                 1.7011,                 1.7693,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.4095,                 1.5978,                 1.6742,                0.53657,                0.49367,                0.49953,                  0.319,                 1.4834,                 1.6667,                  1.757,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.3897,                 1.5344,                  1.665,                0.57532,                0.46068,                0.48354,                0.31112,                 1.4823,                 1.8153,                 1.7419,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.3935,                 1.5459,                 1.6528,                0.54454,                0.47071,                0.48683,                 0.3127,                 1.4737,                 1.7591,                 1.7586,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.3741,                 1.5119,                 1.6508,                0.50731,                0.52617,                0.51733,                0.32579,                 1.4591,                 1.7132,                 1.7365,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.3844,                 1.5168,                 1.6699,                0.56182,                0.48218,                0.49598,                0.31693,                 1.4787,                  1.664,                 1.7524,               0.000703,               0.000703,               0.000703
                     33,                 1.3635,                 1.4901,                 1.6452,                0.60109,                0.46357,                0.49929,                0.32684,                 1.4626,                 1.7053,                 1.7429,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.3738,                 1.4951,                 1.6574,                0.57916,                0.49399,                0.51375,                0.33166,                 1.4511,                  1.635,                 1.7234,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.3445,                   1.49,                 1.6489,                0.49169,                0.53019,                 0.4992,                0.31511,                 1.4759,                 1.7324,                 1.7669,              0.0006733,              0.0006733,              0.0006733
                     36,                  1.351,                 1.4548,                 1.6601,                0.52933,                0.50217,                0.50462,                0.32456,                  1.495,                 1.6364,                 1.7642,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3474,                 1.4569,                 1.6441,                0.56026,                0.51532,                0.50644,                0.31874,                 1.4874,                 1.6946,                 1.7866,              0.0006535,              0.0006535,              0.0006535
                     38,                  1.326,                 1.4372,                 1.6146,                0.52981,                0.51037,                 0.4995,                0.32129,                 1.4736,                 1.6988,                 1.7585,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.3527,                 1.4283,                 1.6263,                0.55202,                0.50936,                0.50854,                0.32706,                 1.4494,                 1.6889,                 1.7536,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3239,                 1.3988,                  1.629,                0.50801,                0.48534,                0.47864,                0.30579,                 1.4665,                 1.8547,                 1.7519,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3439,                 1.4013,                 1.6184,                0.53653,                0.54307,                0.51324,                0.33123,                 1.4675,                  1.691,                 1.7434,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.3384,                 1.4013,                 1.6207,                0.61598,                 0.4999,                0.52084,                0.33152,                 1.4771,                 1.6571,                 1.7438,               0.000604,               0.000604,               0.000604
                     43,                 1.3065,                 1.3721,                  1.613,                0.52799,                0.50424,                 0.5055,                0.32862,                 1.4512,                  1.662,                 1.7307,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.3254,                 1.3849,                 1.6138,                0.55263,                  0.503,                0.49598,                0.32131,                 1.5051,                 1.6928,                 1.7829,              0.0005842,              0.0005842,              0.0005842
                     45,                  1.313,                 1.3125,                 1.5855,                0.61417,                0.47847,                 0.5419,                 0.3507,                 1.4609,                  1.601,                 1.7506,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.2964,                  1.368,                 1.6113,                0.54384,                0.48714,                 0.4886,                0.31132,                 1.5158,                 1.7013,                 1.7969,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.2989,                 1.2965,                 1.5962,                0.62162,                0.47995,                0.51881,                0.32989,                  1.525,                 1.6597,                 1.7866,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.3053,                 1.3287,                 1.5965,                0.49846,                 0.5356,                0.50513,                0.32698,                 1.4769,                 1.7186,                 1.7524,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.2922,                  1.304,                 1.5945,                0.56966,                0.51087,                0.50781,                0.33006,                 1.5128,                 1.6612,                 1.7806,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.2637,                 1.2617,                 1.5709,                0.60714,                0.47075,                0.51526,                0.33207,                 1.4907,                 1.5975,                 1.7808,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.2921,                 1.2761,                 1.5853,                0.53201,                0.52173,                 0.5163,                0.33326,                 1.4937,                 1.6909,                  1.766,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.2636,                 1.2678,                 1.5665,                0.50276,                0.54394,                0.50065,                0.32113,                  1.515,                 1.6675,                 1.7822,               0.000505,               0.000505,               0.000505
                     53,                 1.2443,                 1.2502,                 1.5586,                  0.509,                0.51072,                0.48496,                0.31352,                 1.5195,                 1.7298,                 1.7858,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.2603,                   1.24,                 1.5632,                0.57056,                0.53106,                 0.5281,                0.34078,                  1.518,                  1.677,                 1.7889,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.2591,                  1.212,                  1.541,                0.54438,                0.52647,                0.52951,                 0.3339,                 1.5155,                 1.6175,                 1.7734,              0.0004753,              0.0004753,              0.0004753
